templates,answers,expressions
the average weight of num1 pigs is num2 kg . weight less than num3 kg is considered as under weight . what maximum no . of pig can be under weight .,(( num3-num2 )* num1 ),(a-b)*c
"think of a number , divide it by num1 and add num2 to it . the result is num3 . what is the number thought of ?",(( num3-num2 )* num1 ),(a-b)*c
"ajith and rana walk around a circular course num1 km in circumference , starting together from the same point . if they walk at speed of num2 and num3 kmph respectively , in the same direction , when will they meet ?",( num1 *( num3-num2 )),(a-b)*c
"what is the divisor ? the dividend is num1 , the remainder is num2 , the quotient is num3 ",(( num1-num2 )/ num3 ),(a-b)/c
if num1 is divided by any no . then quotient is num2 and remainder is num3 . what is divisor ?,(( num1-num3 )/ num2 ),(a-b)/c
"on dividing num1 by a certain number , the quotient is num2 and the remainder is num3 . find the divisor .",(( num1-num3 )/ num2 ),(a-b)/c
"on dividing num1 by a certain number , we get num2 as quotient and num3 as remainder . what is the divisor ?",(( num1-num3 )/ num2 ),(a-b)/c
"two men started from the same place walk at the rate of num1 kmph and num2 kmph respectively . what time will they take to be num3 km apart , if they walk in the same direction ?",(( num2-num1 )/ num3 ),(a-b)/c
"if remainder is num1 , quotient is num2 and dividend is num3 then what is divisor ?",(( num3-num1 )/ num2 ),(a-b)/c
"marginal cost is the cost of increasing the quantity produced ( or purchased ) by one unit . if the fixed cost for n products is $ num1 and the marginal cost is $ num2 , and the total cost is $ num3 , what is the value of n ?",(( num3-num1 )/ num2 ),(a-b)/c
"george ' s car calls for num1 ounces of oil for each cylinder used . his car ' s engine has num2 cylinders . if num3 ounces of oil has already been put into the engine used , then how many additional ounces of oil are needed ?",(( num1*num2 )- num3 ),(a*b)-c
"what is the dividend ? the divisor is num1 , the quotient is num2 , and the remainder is-num3 .",(( num1*num2 )- num3 ),(a*b)-c
Paul has num1 marbles. Hope has num2 as many. How many more marbles does Hope have than Paul?,( num1*num2 )- num1 ,(a*b)-c
"Mr. Williams bought num1 gallons of juice for a party. Each gallon has num2 cups. At the party, num3 cups of juice were left. How many cups of juice were drunk? ",( num1*num2 )- num3 ,(a*b)-c
"Yannick buys some Christmas decoration, he gets num1 boxes of baubles , each contain num2 . He gives num3 individual baubles to his neighbour. How many does he have? ",( num1*num2 )- num3 ,(a*b)-c
"At Penny's bakery, her famous blueberry cheesecakes are $ num1 a slice. Each cheesecake pie is cut into num2 thick slices. If she sells num3 cheesecake pies, how much money does she make?",( num1*num2 )* num3 ,(a*b)*c
Super Clean Car Wash Company cleans num1 cars per day. They make $ num2 per car washed. How much money will they make in num3 days?,( num1*num2 )* num3 ,(a*b)*c
. in digging a pond num1 m*num2 m*num3 m the volumes of the soil extracted will be ?,(( num1*num2 )* num3 ),(a*b)*c
"find the area of a cuboid of length num1 cm , breadth num2 cm . and height num3 cm .",(( num1*num2 )* num3 ),(a*b)*c
in digging a pond num1 m*num2 m*num3 m the volumes of the soil extracted will be ?,(( num1*num2 )* num3 ),(a*b)*c
"a company has a hierarchical system where for every num1 workers , there is one team lead , and for every num2 teams leads , there is one supervisor . if the company has num3 supervisors , how many workers does it have ?",(( num3*num2 )* num1 ),(a*b)*c
A window is made up of num1 glass panes. Each pane has a length of num2 inches and a width of num3 inches. What is the area of the window? ,( num1*num2 )* num3 ,(a*b)*c
"Eddy's spider plant produces num1 baby plants num2 times a year. After num3 years, how many baby plants will the mother plant have produced? ",( num1*num2 )* num3 ,(a*b)*c
Jack sews num1 shirts for each of his num2 kids. He sews num3 buttons in each shirt. How many buttons must Jack use for all the shirts? ,( num1*num2 )* num3 ,(a*b)*c
"Jason goes to the library num1 times more often than William goes. If William goes num2 times per week to the library, how many times does Jason go to the library in num3 weeks? ",( num1*num2 )* num3 ,(a*b)*c
 num1 machines can do a work in num2 days . how many machines are needed to complete the work in num3 days ?,(( num1*num2 )/ num3 ),(a*b)/c
 num1 men do a work in num2 days . how many men are needed to finish the work in num3 days ?,(( num1*num2 )/ num3 ),(a*b)/c
 num1 people can do work in num2 days how much people they required to complete the work in num3 days ?,(( num1*num2 )/ num3 ),(a*b)/c
"a bullet train covers a distance in num1 min , if it runs at a speed of num2 kmph on an average . the speed at which the bullet train must run to reduce the time of journey to num3 min will be .",(( num1*num2 )/ num3 ),(a*b)/c
"a train covers a distance at a speed of num1 kmph in num2 hours . to cover the same distance in num3 hours , it must travel at a speed of ?",(( num1*num2 )/ num3 ),(a*b)/c
find the annual income derived by investing $ num1 in num2 % stock at num3 .,(( num1*num2 )/ num3 ),(a*b)/c
"hcf and lcm two numbers are num1 and num2 respectively . if one of the numbers is num3 , then the other number is ?",(( num1*num2 )/ num3 ),(a*b)/c
"if num1 men can do a piece of work in num2 hours , in how many hours will num3 men do it ?",(( num1*num2 )/ num3 ),(a*b)/c
"if num1 men do a work in num2 days , in how many days will num3 men do it ?",(( num1*num2 )/ num3 ),(a*b)/c
"if num1 men take num2 days to to complete a job , in how many days can num3 men finish that work ?",(( num1*num2 )/ num3 ),(a*b)/c
"if num1 people can eat a gallon of ice cream in num2 days , how long would it take num3 people to eat a gallon of ice cream ?",(( num1*num2 )/ num3 ),(a*b)/c
"if num1 workers can build a wall in num2 hours , how many workers will be required to do the same work in num3 hours ?",(( num1*num2 )/ num3 ),(a*b)/c
"if it takes num1 kids num2 hours to wear out their teacher , how long would it take num3 kids ?",(( num1*num2 )/ num3 ),(a*b)/c
lcm of two numbers is num1 and hcf is num2 . if one number is num3 then other number is,(( num1*num2 )/ num3 ),(a*b)/c
"the lcm and hcf of two numbers are num1 and num2 respectively . if one of them is num3 , find the other ?",(( num1*num2 )/ num3 ),(a*b)/c
the lcm of two numbers is num1 and hcf is num2 . if one of the numbers is num3 . then what is the other number ?,(( num1*num2 )/ num3 ),(a*b)/c
"there is enough provisions for num1 men in an army camp for num2 days . if there were num3 men less , how long will the provision last ?",(( num1*num2 )/ num3 ),(a*b)/c
"there is enough provisions for num1 women in an army camp for num2 days . if there were num3 men less , how long will the provision last ?",(( num1*num2 )/ num3 ),(a*b)/c
albert is num1 times mary ’ s age and num2 times as old as betty . mary is num3 years younger than albert . how old is betty ?,(( num1*num3 )/ num2 ),(a*b)/c
"in a division , a student took num1 as divisor instead of num2 . his answer was num3 . the correct answer is -",(( num1*num3 )/ num2 ),(a*b)/c
"on teacher ' s day , sweets were to be equally distributed among num1 children in a school . actually , on the teacher ' s day , num2 children were absent and therefore each child got num3 sweets extra . how many sweets did each child get on that day ?",(( num1*num3 )/ num2 ),(a*b)/c
" num1 beavers , working together in a constant pace , can build a dam in num2 hours . how many b hours will it take num3 beavers that work at the same pace , to build the same dam ?",(( num2*num1 )/ num3 ),(a*b)/c
" num1 beavers , working together in a constant pace , can build a dam in num2 hours . how many hours c will it take num3 beavers that work at the same pace , to build the same dam ?",(( num2*num1 )/ num3 ),(a*b)/c
" num1 beavers , working together in a constant pace , can build a dam in num2 hours . how many hours will it take num3 beavers that work at the same pace , to build the same dam ?",(( num2*num1 )/ num3 ),(a*b)/c
" num1 beavers , working together in a constant pace , can build a dam in num2 hours . how many hours x will it take num3 beavers that work at the same pace , to build the same dam ?",(( num2*num1 )/ num3 ),(a*b)/c
